ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
10001,200000,2,2,1,28,0,0,0,0,-1,0,80319,47791,170061,70388,71105,179356,23168,3325,8192,6157,24006,68209
10002,80000,1,5,1,21,-1,0,0,-1,-1,-1,86458,59131,16728,94248,71611,56851,13770,1753,983,5234,13014,11942
10003,50000,1,3,2,47,0,0,-1,1,0,0,51791,43973,30285,1211,51170,8226,7980,2378,13151,171,10709,2469
10004,150000,2,2,1,21,0,2,2,3,-1,0,4954,151234,176422,125460,158779,62053,1652,72536,32885,56624,46048,17980
10005,200000,2,3,2,37,-1,0,-1,2,0,0,6339,187652,235091,76085,91076,195127,1643,70436,24094,27509,3661,87163
10006,100000,2,2,2,21,0,-1,0,0,0,0,87729,68243,11104,64091,64284,18578,29756,7683,1933,26445,2113,2311
10007,1000000,2,2,1,38,2,-1,0,0,-1,3,560907,639867,1189595,713777,560230,1111937,234302,244036,473978,169025,81269,475893
10008,200000,1,3,2,40,-1,1,-1,0,0,0,184531,66364,7650,9515,-1025,221089,30880,13593,1216,2006,0,84488
10009,120000,2,2,1,33,2,-1,1,-1,-2,4,64166,116052,84054,121390,46996,109633,30981,25787,11973,40501,7893,9986
10010,100000,1,1,1,29,6,0,0,0,0,-1,39523,41144,85857,90288,71410,42285,4808,18650,14200,515,18271,19225
10011,80000,1,3,1,27,-1,-1,2,0,-1,0,43081,5222,96194,36987,69111,14144,20452,280,47007,7256,9108,4085
10012,250000,1,1,1,34,-1,-1,-1,0,3,-1,123527,85092,182775,19275,178244,184210,11236,33870,10608,9518,41519,73080
10013,100000,2,2,1,31,-2,2,-1,0,-1,-1,98171,20448,108443,41915,88630,102848,14394,5490,13546,10737,35722,20754
10014,20000,2,2,1,26,0,0,0,0,-1,0,21345,21789,8802,4625,19664,8126,4231,10079,3693,874,2042,3252
10015,100000,2,4,1,32,-1,0,0,-2,0,2,6960,94683,76763,35414,113505,19307,645,31105,8735,3598,15679,3443
10016,250000,2,3,2,31,4,-2,-1,0,0,-1,76996,52073,57183,187078,101847,2269,26782,24970,2101,58749,45525,88
10017,50000,2,1,1,59,0,-1,1,0,-1,1,46282,27215,43479,54548,39896,6869,8225,2996,135,16905,1465,216
10018,50000,1,2,2,31,0,-1,-1,-1,0,0,16467,-1231,31642,24474,663,27669,4327,0,11353,1827,282,7615
10019,150000,2,2,2,30,-1,-1,-1,0,-2,0,11625,139758,141205,177130,73877,181061,181,67954,36631,26416,34737,10523
10020,150000,2,2,2,41,-1,0,-1,0,2,0,148451,159878,122450,73675,162360,89757,26893,76842,27108,16873,12833,13971
10021,200000,2,3,2,52,-1,-1,2,0,1,0,175591,124950,64154,76091,164506,31327,76490,429,29452,21334,28082,556
10022,300000,1,2,1,27,2,-1,-1,-2,0,0,177812,340353,127774,189600,229085,45518,34870,7570,24193,93175,50588,4388
10023,250000,1,3,1,33,0,-1,0,-1,0,-1,74507,125617,44418,21873,251661,284809,27865,41942,13144,8100,21710,101738
