ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYMENT_NEXT_MONTH
1,100000,1,3,2,29,0,0,0,0,-1,0,57506,18882,5739,43801,7207,119862,17316,9329,1343,9187,545,15807,0
2,500000,1,2,2,32,0,0,3,-1,0,2,165809,198373,472429,261975,470730,377139,70243,73140,124508,17378,162274,21856,1
3,250000,1,2,2,33,-1,-1,0,-1,-1,0,44493,2421,249815,99830,85706,129798,11249,559,62623,22356,28488,41627,0
4,150000,2,3,1,33,-2,0,-1,-1,0,0,20308,154806,89679,95073,39979,129299,7577,31562,30230,26601,2684,54120,0
5,50000,2,2,2,29,0,-1,-1,2,0,-1,9633,16235,18645,10011,8774,27179,3937,6545,4137,819,869,6244,0
6,50000,2,3,2,28,0,5,2,0,2,-1,55605,64675,-172,31378,54433,49767,9386,21891,0,9667,9481,10754,1
7,20000,1,5,2,32,1,-1,-1,-1,0,-1,4048,17362,19913,19747,17603,-2808,1009,5796,5084,5905,3386,0,1
8,300000,2,2,1,21,0,-1,-1,2,1,0,242912,339882,289527,184785,209073,155099,114890,154037,131316,30621,84916,49209,1
9,200000,2,3,2,21,0,-1,0,-1,-1,0,174432,136578,197249,206304,90146,149443,85414,24188,67699,42444,25889,48482,0
10,200000,2,2,1,35,0,2,-1,2,0,2,135856,179829,56080,221934,177810,217633,36222,43191,1437,59813,13681,65943,0
11,20000,2,2,1,36,0,0,-1,-1,-2,0,12819,7335,7533,1816,5364,-7273,4355,1019,2573,325,1488,0,0
12,800000,2,1,2,42,-1,0,-1,0,-1,1,338115,648310,800900,239327,540711,964680,65656,258935,4271,52592,110204,62073,0
13,300000,2,2,2,32,-1,2,3,0,0,-1,71800,204926,105511,301970,329504,40685,8056,41787,35547,45637,90112,16060,1
14,50000,1,2,2,24,0,2,-1,1,2,0,51768,31323,50076,38876,27741,53273,6211,11208,21145,13647,1427,22655,1
15,50000,2,2,1,21,1,0,3,0,2,0,38612,11745,31308,12857,12036,33280,14239,2539,1746,5194,3980,8893,1
16,50000,1,3,2,26,-1,0,-1,-1,0,-1,6749,42891,33581,50796,47256,57500,2914,4778,12634,13847,21184,28280,1
17,80000,1,3,1,38,0,2,1,-1,-1,-1,68153,54050,27790,63922,99858,73593,22535,25957,9600,891,14147,1391,1
18,150000,1,5,1,47,-1,-1,3,3,0,0,22695,158932,144519,144435,156128,178353,1661,42770,28541,9062,67086,31868,1
19,100000,1,3,2,35,-1,0,0,0,-1,0,57253,12154,108645,50713,114407,69461,6433,416,10918,13971,36702,18891,0
20,80000,1,2,1,24,-1,1,1,1,-1,2,2321,8067,2093,32099,64369,60174,554,521,723,11463,9464,19188,0
21,200000,1,2,2,27,-1,0,-1,0,-1,-1,116050,26761,19102,58558,-783,140340,18042,7931,409,24915,0,52567,0
22,30000,1,2,1,27,0,-2,-1,0,2,-1,23139,7831,35988,6829,1638,8605,9597,838,10689,1193,364,1771,0
23,80000,2,2,1,31,-1,-1,0,4,0,-1,47069,67397,87350,64209,29520,-783,2005,22614,22808,5252,5549,0,0
24,80000,1,3,2,45,0,1,2,0,-1,1,44506,54217,88623,2223,21392,6627,15164,9029,38704,213,1099,1889,0
25,120000,2,2,2,45,-1,-2,0,0,1,-1,36155,91599,139995,26820,44235,138571,12313,4259,2817,10437,1935,938,1
26,250000,1,2,2,33,0,2,-2,1,0,2,26017,158446,254011,46181,43315,190489,549,40718,108226,6587,15970,84968,0
27,50000,2,2,1,36,-2,-1,-1,-2,1,3,32704,32089,9177,68580,24243,25945,8895,15631,1569,1977,886,9151,0
28,120000,2,1,2,27,-1,0,2,7,1,-1,27181,-9436,72796,36468,101880,30084,5965,0,27899,15772,47443,9323,0
29,150000,2,2,1,21,0,0,-1,-1,8,-1,63575,123733,103349,117402,61434,169994,24649,29834,23275,31122,23986,75563,1
30,20000,2,2,1,51,0,-1,-1,0,-1,-1,31077,11736,16672,12858,16361,17010,13218,1592,1014,6334,2952,1382,0
31,200000,1,3,2,21,1,-2,-1,3,2,2,142972,220422,178092,10893,24863,256,50326,79446,23520,3043,11325,103,1
32,50000,2,2,1,21,-2,-1,-1,1,-1,-1,60385,35799,53200,41717,44579,-2043,22460,9754,19681,4875,2574,0,1
33,20000,2,3,3,51,0,0,-1,-1,7,-1,21807,10175,652,13362,18788,10315,5559,3956,267,5266,1936,925,1
34,500000,2,2,2,35,-1,0,1,-1,0,0,562365,314469,19536,49227,330031,457944,231555,91595,6437,17383,164165,186723,0
35,800000,2,1,3,24,0,0,1,0,0,0,211678,311073,891926,624110,867063,408536,12979,34549,146812,166734,26843,105535,0
36,300000,1,3,1,41,-1,-1,0,0,6,-1,19734,169654,300838,8809,315859,125143,2587,80792,54794,3590,67236,48076,1
37,80000,2,3,3,41,0,-1,0,0,-1,4,5937,12399,78913,30351,55647,4359,406,2367,30781,12114,19328,1495,1
38,30000,1,2,1,23,0,0,0,1,0,-1,-1264,31864,34299,15956,26603,34413,0,9607,14514,1829,12127,10181,1
39,200000,2,3,1,30,1,-1,-2,2,8,0,5146,29471,181387,106270,50930,221557,1310,12473,18873,34862,6099,68892,1
40,100000,1,1,1,42,5,-1,0,-1,3,0,34753,27931,76221,23071,69349,27745,5777,9530,24612,3208,19434,13614,0
41,30000,2,2,2,27,2,0,7,-1,-1,1,30610,16346,11537,27094,-2412,30097,480,1928,191,12070,0,9034,1
42,120000,1,3,1,37,0,0,-1,-1,-1,-1,38716,55484,63417,50411,95668,86239,12073,11688,20037,2211,2686,2116,1
43,20000,1,3,2,47,2,-1,5,-2,0,0,24613,22839,21215,11283,9308,3522,3690,5555,8147,4317,678,1122,1
44,360000,2,2,1,21,-1,-1,7,0,1,0,136235,139941,148615,24498,337920,392530,48997,376,52302,2319,12635,68366,0
45,50000,2,1,1,31,-2,1,-1,-1,1,-1,30011,30266,17318,51972,35679,10306,5455,11680,8567,7774,13781,4147,1
46,200000,2,3,2,37,0,2,2,0,0,0,201494,100257,47742,230746,50101,183636,1889,863,15033,29873,3540,63251,1
47,80000,1,2,1,21,4,-1,0,-1,0,1,47750,37359,53859,59630,85816,25561,13356,4253,17255,18595,37464,1526,1
48,150000,1,2,2,30,0,-1,0,0,-1,1,23047,46456,47094,122342,19953,150956,874,5676,19741,5254,2211,17542,0
49,150000,2,2,2,44,-1,1,-1,0,0,0,59433,137366,135892,93692,165501,51475,2517,55089,54571,11114,1414,1990,0
50,50000,2,4,2,28,0,4,0,1,0,0,48797,13756,55367,33571,48717,13684,3213,2190,22341,11074,9603,3018,1
51,800000,2,1,1,21,-2,-1,1,1,0,0,72275,13030,912499,900401,6996,860706,21368,179,74453,82800,2713,141473,0
52,250000,2,3,3,45,0,1,-2,0,-1,0,224119,244818,178593,120270,188105,235491,94457,20135,84582,9017,39803,55706,0
53,500000,2,3,2,39,-1,0,0,-1,0,-2,449660,128187,115301,34743,578098,428320,142530,53790,28115,16890,61029,46667,1
54,360000,2,2,3,34,-2,-1,0,-2,3,0,189650,66633,341848,349639,126315,70675,92437,16977,84648,168816,35837,16696,0
55,150000,2,3,1,34,-1,0,-2,-1,1,-2,11207,41827,13317,176584,61681,122034,4771,14399,4037,76158,14273,38726,1
56,500000,2,5,2,44,0,0,2,2,0,0,147699,569487,422158,17587,93716,396588,64052,50474,134521,311,16305,139034,0
57,30000,2,2,2,37,0,-1,3,1,-1,-1,7493,25847,22170,6693,35887,26357,414,8263,4812,2977,17200,4279,1
58,50000,2,2,1,40,-2,-1,0,-2,1,-2,46573,42409,15095,34787,32061,55199,17971,6383,4971,12289,10571,11993,0
59,20000,2,4,2,28,0,2,-1,2,0,0,9316,-2733,16510,21141,18308,20886,380,0,7412,4495,2215,9231,0
60,80000,1,3,2,21,1,2,3,0,0,0,33767,59319,13648,15476,16891,54775,8304,6995,3681,1067,2599,1199,1
